--------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
--------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::_local_scalar_dense        71.91%     107.983ms        71.91%     107.983ms       6.749ms            16  
                                 aten::addmm         5.60%       8.404ms         7.66%      11.497ms      36.848us           312  
                                 aten::copy_         4.47%       6.709ms         4.47%       6.709ms      12.242us           548  
                           aten::index_copy_         1.41%       2.118ms         1.49%       2.243ms      11.681us           192  
                         aten::empty_strided         1.03%       1.540ms         1.03%       1.540ms       2.596us           593  
                                 aten::empty         0.99%       1.481ms         0.99%       1.481ms       1.946us           761  
                             aten::transpose         0.87%       1.305ms         1.00%       1.499ms       3.470us           432  
                            aten::as_strided         0.86%       1.289ms         0.86%       1.289ms       0.478us          2700  
                                 aten::slice         0.78%       1.170ms         0.95%       1.422ms       2.468us           576  
                                 aten::fill_         0.73%       1.097ms         0.73%       1.097ms       7.414us           148  
                                   aten::bmm         0.71%       1.065ms         0.71%       1.065ms      22.190us            48  
                              aten::_to_copy         0.71%       1.064ms         4.27%       6.406ms      19.772us           324  
                             aten::unsqueeze         0.62%     929.300us         0.77%       1.155ms       2.830us           408  
    aten::_scaled_dot_product_attention_math         0.59%     890.200us         6.51%       9.776ms     407.346us            24  
                                   aten::add         0.54%     809.300us         0.54%     809.300us       8.430us            96  
                                aten::select         0.52%     781.500us         0.64%     960.500us       2.469us           389  
                            aten::empty_like         0.47%     708.700us         1.02%       1.536ms       3.719us           413  
                                   aten::mul         0.47%     702.900us         0.47%     702.900us      14.644us            48  
                                 aten::where         0.42%     629.600us         0.88%       1.315ms      18.262us            72  
                               aten::reshape         0.39%     592.000us         0.88%       1.322ms       3.854us           343  
                                 aten::index         0.38%     569.500us         0.43%     648.300us      43.220us            15  
                                aten::linear         0.37%     553.900us         3.74%       5.616ms      38.999us           144  
                                aten::matmul         0.34%     509.200us         2.40%       3.611ms      37.619us            96  
                               aten::permute         0.33%     492.000us         0.39%     589.400us       3.508us           168  
                                    aten::to         0.33%     490.000us         4.59%       6.896ms       9.370us           736  
                                    aten::mm         0.32%     484.600us         0.32%     484.600us      20.192us            24  
                                aten::argmax         0.31%     465.800us         0.40%     600.300us      37.519us            16  
                               aten::numpy_T         0.28%     425.300us         0.68%       1.015ms       6.040us           168  
                                  aten::view         0.27%     408.600us         0.27%     408.600us       0.731us           559  
          aten::scaled_dot_product_attention         0.26%     390.300us        13.87%      20.823ms     433.813us            48  
                                 aten::clone         0.25%     382.600us         1.59%       2.384ms      16.559us           144  
                                     aten::t         0.21%     316.100us         0.49%     733.600us       6.113us           120  
                               aten::squeeze         0.20%     307.400us         0.25%     370.200us       2.204us           168  
                                   aten::all         0.20%     303.300us         0.20%     303.300us      12.638us            24  
                         aten::scalar_tensor         0.19%     285.800us         0.55%     827.500us      11.493us            72  
                                  aten::add_         0.17%     255.300us         0.17%     255.300us      10.638us            24  
                              aten::_softmax         0.16%     233.500us         0.16%     233.500us       9.729us            24  
                                  aten::tril         0.15%     228.000us         0.15%     228.000us       9.500us            24  
                     aten::repeat_interleave         0.15%     222.700us         0.85%       1.282ms      26.710us            48  
                              aten::isneginf         0.14%     213.300us         0.14%     213.300us       8.887us            24  
--------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 150.173ms
